,SCH_NAME,SCHOOL_YR,LEVEL_CODE,DIV_NUM,DIV_NAME,SCH_NUM,GRADE_CODE,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,PRIMARY_DISABILITY_TYPE,DEC1_CNT
239,Cashell Donahoe Elementary,2010-2011,SCH,43.0,Henrico County ,120.0,02,3.0,M,Y,N,N,SLD,12
240,Cassell Elementary,2010-2011,SCH,8.0,Augusta County ,30.0,,5.0,M,Y,N,N,SLI,12
241,Castlewood Elementary,2010-2011,SCH,83.0,Russell County ,792.0,05,5.0,F,Y,N,Y,SLD,10
242,Castlewood High,2010-2011,SCH,83.0,Russell County ,791.0,08,5.0,M,Y,N,Y,SLD,10
243,Catoctin Elementary,2010-2011,SCH,53.0,Loudoun County ,710.0,02,5.0,M,Y,N,Y,SLD,11
244,Cave Spring Elementary,2010-2011,SCH,80.0,Roanoke County ,560.0,03,5.0,M,Y,N,N,OHI,13
245,Cave Spring High,2010-2011,SCH,80.0,Roanoke County ,470.0,09,5.0,M,Y,N,N,OHI,17
246,Cave Spring Middle,2010-2011,SCH,80.0,Roanoke County ,620.0,06,5.0,F,Y,N,N,SLD,10
247,Cedar Bluff Elementary,2010-2011,SCH,92.0,Tazewell County ,830.0,03,5.0,M,Y,N,Y,SLI,14
248,Cedar Forest Elementary,2010-2011,SCH,88.0,Spotsylvania County ,511.0,02,5.0,M,Y,N,Y,DD,11
249,Cedar Lane Elementary,2010-2011,SCH,53.0,Loudoun County ,840.0,02,5.0,M,Y,N,N,SLI,10
250,Cedar Lee Middle,2010-2011,SCH,30.0,Fauquier County ,520.0,06,5.0,M,Y,N,N,SLD,13
251,Cedar Mountain High,2010-2011,SCH,900.0,Department of Correctional Education,67.0,12,3.0,M,Y,N,Y,,10
252,Cedar Point Elementary,2010-2011,SCH,75.0,Prince William County ,900.0,01,5.0,M,Y,N,N,SLI,10
253,Cedar Road Elementary,2010-2011,SCH,136.0,Chesapeake City ,900.0,01,5.0,M,Y,N,N,SLI,11
254,Center for Applied Technology & Career Exploration ,2010-2011,SCH,33.0,Franklin County ,1481.0,08,5.0,F,Y,N,Y,OHI,14
255,Centerville Elementary,2010-2011,SCH,128.0,Virginia Beach City ,40.0,01,5.0,M,Y,N,N,DD,10
256,Central Academy Middle,2010-2011,SCH,12.0,Botetourt County ,420.0,06,5.0,M,Y,N,N,OHI,14
257,Central Elementary,2010-2011,SCH,5.0,Amherst County ,770.0,03,3.0,F,Y,N,Y,SLI,10
258,Central High,2010-2011,SCH,49.0,King and Queen County ,280.0,10,3.0,M,Y,N,Y,SLD,10
259,Central Middle,2010-2011,SCH,20.0,Charlotte County ,210.0,06,3.0,M,Y,N,Y,SLD,10
260,Centre Ridge Elementary,2010-2011,SCH,29.0,Fairfax County ,2090.0,02,2.0,M,Y,N,N,DD,10
261,Centreville Elementary,2010-2011,SCH,29.0,Fairfax County ,2205.0,01,5.0,F,Y,N,N,SLD,10
262,Centreville High,2010-2011,SCH,29.0,Fairfax County ,200.0,09,3.0,F,Y,N,N,SLD,13
263,Cesar Tarrant Elementary,2010-2011,SCH,112.0,Hampton City ,510.0,02,3.0,M,Y,N,N,SLD,10
264,Chamberlayne Elementary,2010-2011,SCH,43.0,Henrico County ,590.0,03,3.0,M,Y,N,N,DD,10
265,Chancellor Elementary,2010-2011,SCH,88.0,Spotsylvania County ,40.0,,5.0,F,Y,N,N,SLI,10
266,Chancellor High,2010-2011,SCH,88.0,Spotsylvania County ,381.0,09,3.0,M,Y,N,Y,SLD,15
267,Chancellor Middle,2010-2011,SCH,88.0,Spotsylvania County ,382.0,06,5.0,M,Y,N,N,SLD,10
268,Chantilly High,2010-2011,SCH,29.0,Fairfax County ,131.0,09,3.0,M,Y,Y,N,SLD,10
269,Charles Barrett Elementary,2010-2011,SCH,101.0,Alexandria City ,120.0,,3.0,M,Y,N,N,SLD,11
