Adequate Immunization Rate,Compliant with Idaho Regulations,Conditional Admit Records Rate,DTaP Adequate Rate,Exemption Record Rate,Grade,Hep. A Adequate Rate,Hep. B Adequate Rate,Incomplete or No Records Rate,MMR Adequate Rate,Meningitis Adequate Rate,Number of Records,Polio Adequate Rate,School District,School Name,School City,SchoolYear,State,Tdap Adequate Rate,Total Adequate,Total Conditional Admit Records,Total Enrollment,Total Exempt,Total Incomplete or No Records,Varicella Adequate Rate,X,Y,Address,City CAPS,City,testing,Zip
90.1%,96.7%,0.5%,94.8%,6.1%,Seventh Grade,N/A,95.3%,3.3%,96.2%,91.1%,1,96.2%,1 Boise,Hillside Jr High,Hillside Jr High BOISE,2017-2018,ID,92.5%,192,1,213,13,7,N/A,-116.232395,43.654954,3536 Hill Rd.,BOISE,Boise,HILLSIDE JUNIOR HIGH SCHOOL,83703
69.2%,74.6%,0.4%,90.7%,5.0%,Seventh Grade,N/A,90.3%,25.4%,93.9%,75.6%,1,90.0%,61 Blaine,Wood River Middle,Wood River Middle HAILEY,2017-2018,ID,77.4%,193,1,279,14,71,N/A,-114.317465087,43.529607912,900 2nd Ave North,HAILEY,Hailey,WOOD RIVER MIDDLE SCHOOL,83333
86.5%,94.5%,0.5%,93.0%,7.5%,Seventh Grade,N/A,95.0%,5.5%,93.5%,92.0%,1,94.5%,1 Boise,Riverglen Jr High,Riverglen Jr High BOISE,2017-2018,ID,94.0%,173,1,200,15,11,N/A,-116.279256,43.67986,6801 N. Gary Lane,BOISE,Boise,RIVERGLEN JR HIGH SCHOOL,83714
22.7%,100.0%,4.5%,54.5%,72.7%,Seventh Grade,N/A,36.4%,0.0%,45.5%,40.9%,1,50.0%,Private,St. Dominic,St. Dominic POST FALLS,2017-2018,ID,40.9%,5,1,22,16,0,N/A,-117.020608981,47.687183796,20274 West Riverview Dr. Post Fa,POST FALLS,Post Falls,ST. DOMINIC SCHOOL,83854
93.0%,100.0%,0.3%,93.5%,6.7%,Seventh Grade,N/A,97.1%,0.0%,95.3%,94.4%,1,96.8%,2 West Ada,Lowell Scott Middle,Lowell Scott Middle BOISE,2017-2018,ID,94.4%,317,1,341,23,0,N/A,-116.352409,43.648439,13600 W McMillan Rd,BOISE,Boise,LOWELL SCOTT MIDDLE SCHOOL,83713
91.3%,99.5%,0.3%,93.9%,7.9%,Seventh Grade,N/A,96.8%,0.5%,96.3%,93.1%,1,97.1%,139 Vallivue,Sage Valley Middle,Sage Valley Middle NAMPA,2017-2018,ID,93.9%,345,1,378,30,2,N/A,-116.603223013,43.634194059,18070 Santa Ana Ave,NAMPA,Nampa,SAGE VALLEY MIDDLE SCHOOL,83686
73.6%,96.3%,0.6%,83.4%,22.1%,Seventh Grade,N/A,82.2%,3.7%,81.6%,74.8%,1,82.8%,Charter,Idaho Virtual Academy,Idaho Virtual Academy MERIDIAN,2017-2018,ID,74.8%,120,1,163,36,6,N/A,-116.354529904,43.587035916,1965 S. Eagle Road Suite 190,MERIDIAN,Meridian,IDAHO VIRTUAL ACADEMY,83642
95.1%,100.0%,3.3%,95.1%,1.6%,Seventh Grade,N/A,95.1%,0.0%,95.1%,98.4%,1,95.1%,58 Aberdeen,Aberdeen Middle,Aberdeen Middle ABERDEEN,2017-2018,ID,98.4%,58,2,61,1,0,N/A,-112.844576,42.942687,136 S 4th W,ABERDEEN,Aberdeen,ABERDEEN MIDDLE SCHOOL,83210
78.6%,89.3%,7.1%,96.4%,3.6%,Seventh Grade,N/A,92.9%,10.7%,85.7%,85.7%,1,100.0%,13 Council,Council Jr/Sr High,Council Jr/Sr High COUNCIL,2017-2018,ID,85.7%,22,2,28,1,3,N/A,-116.438785,44.727848,101 E. Bleeker,COUNCIL,Council,COUNCIL JR SR HIGH SCHOOL,83612
84.6%,100.0%,7.7%,88.5%,7.7%,Seventh Grade,N/A,96.2%,0.0%,96.2%,96.2%,1,96.2%,Charter,American Heritage Charter,American Heritage Charter IDAHO FALLS,2017-2018,ID,96.2%,22,2,26,2,0,N/A,-112.102881899,43.481573361,1736 S. 35th West,IDAHO FALLS,Idaho Falls,AMERICAN HERITAGE CHARTER SCHOOL,83402
78.9%,86.0%,3.5%,80.7%,3.5%,Seventh Grade,N/A,96.5%,14.0%,96.5%,82.5%,1,98.2%,291 Salmon,Salmon Jr/Sr High,Salmon Jr/Sr High SALMON,2017-2018,ID,82.5%,45,2,57,2,8,N/A,-113.890687063,45.171198249,900 Sharkey St,SALMON,Salmon,SALMON JR SR HIGH SCHOOL,83467
87.2%,100.0%,5.1%,94.9%,7.7%,Seventh Grade,N/A,100.0%,0.0%,100.0%,92.3%,1,100.0%,Charter,Blackfoot Charter Clc,Blackfoot Charter Clc BLACKFOOT,2017-2018,ID,92.3%,34,2,39,3,0,N/A,-112.319878666,43.211258324,2801 Hunters Loop,BLACKFOOT,Blackfoot,BLACKFOOT CHARTER COMMUNITY LEARNING CENTER,83221
83.9%,100.0%,6.5%,87.1%,9.7%,Seventh Grade,N/A,96.8%,0.0%,96.8%,93.5%,1,96.8%,Charter,Liberty Charter,Liberty Charter NAMPA,2017-2018,ID,96.8%,26,2,31,3,0,N/A,-116.558107892,43.51626,9955 KRIS JENSEN LN,NAMPA,Nampa,LIBERTY CHARTER SCHOOL,83686
64.6%,77.1%,4.2%,87.5%,8.3%,Seventh Grade,N/A,87.5%,22.9%,87.5%,68.8%,1,87.5%,Charter,Idaho Science & Technology Charter,Idaho Science & Technology Charter BLACKFOOT,2017-2018,ID,68.8%,31,2,48,4,11,N/A,-112.405453284,43.199522445,21 N 550 W,BLACKFOOT,Blackfoot,IDAHO SCIENCE & TECHNOLOGY CHARTER SCHOOL,83221
70.4%,78.3%,1.7%,89.6%,6.1%,Seventh Grade,N/A,90.4%,21.7%,90.4%,73.0%,1,91.3%,231 Gooding,Gooding Middle,Gooding Middle GOODING,2017-2018,ID,74.8%,81,2,115,7,25,N/A,-114.723651,42.938472,1045 7th Ave. West,GOODING,Gooding,GOODING MIDDLE SCHOOL,83330
92.4%,97.5%,0.7%,97.1%,4.3%,Seventh Grade,N/A,95.7%,2.5%,95.7%,95.0%,1,95.7%,131 Nampa,South Middle,South Middle NAMPA,2017-2018,ID,95.3%,257,2,278,12,7,N/A,-116.574897,43.547026,229 W. Greenhursts,NAMPA,Nampa,SOUTH MIDDLE SCHOOL,83686
81.4%,97.1%,1.4%,93.6%,14.3%,Seventh Grade,N/A,95.0%,2.9%,94.3%,90.0%,1,94.3%,322 Sugar-Salem,Sugar/Salem Jr High,Sugar/Salem Jr High SUGAR CITY,2017-2018,ID,90.7%,114,2,140,20,4,N/A,-111.749544,43.872985,10 N Cutler Avenue,SUGAR CITY,Sugar City,SUGAR-SALEM JUNIOR HIGH SCHOOL,83448
86.4%,94.5%,2.7%,92.7%,5.5%,Seventh Grade,N/A,96.4%,5.5%,96.4%,90.9%,1,97.3%,412 Buhl,Buhl Middle,Buhl Middle BUHL,2017-2018,ID,91.8%,95,3,110,6,6,N/A,-114.754547,42.607996,525 Sawtooth,BUHL,Buhl,BURLEY JUNIOR HIGH SCHOOL,83316
91.6%,99.6%,1.5%,93.5%,6.5%,Seventh Grade,N/A,97.0%,0.4%,96.2%,95.8%,1,97.0%,1 Boise,Les Bois Jr High,Les Bois Jr High BOISE,2017-2018,ID,95.4%,241,4,263,17,1,N/A,-116.131206,43.546881,4150 E. Grand Forest Drive,BOISE,Boise,LES BOIS JUNIOR HIGH SCHOOL,83706
49.0%,82.4%,11.8%,80.4%,21.6%,Seventh Grade,N/A,86.3%,17.6%,78.4%,60.8%,1,78.4%,Charter,Idaho Distance Education Academy,Idaho Distance Education Academy DEARY,2017-2018,ID,68.6%,25,6,51,11,9,N/A,-116.556822,46.796454547,606 South Ave,DEARY,Deary,IDAHO DISTANCE EDUCATION ACADEMY,83823
90.8%,99.6%,2.5%,92.9%,6.4%,Seventh Grade,N/A,97.2%,0.4%,97.2%,96.5%,1,97.5%,1 Boise,Fairmont Jr High,Fairmont Jr High BOISE,2017-2018,ID,97.2%,256,7,282,18,1,N/A,-116.274322,43.625646,2121 N. Cole Rd.,BOISE,Boise,FAIRMONT JUNIOR HIGH SCHOOL,83704
53.1%,89.8%,18.4%,53.1%,18.4%,Seventh Grade,N/A,81.6%,10.2%,81.6%,71.4%,1,81.6%,Charter,Forrest M. Bird Charter,Forrest M. Bird Charter SANDPOINT,2017-2018,ID,71.4%,26,9,49,9,5,N/A,-116.572172705,48.280422348,614 s madison,SANDPOINT,Sandpoint,FORREST M. BIRD CHARTER SCHOOL,83864
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,,Taft Elementary,Taft Elementary SCHOOL,2017-2018,ID,N/A,,,,,,N/A,-116.235917,43.642697,3722 N. Anderson St,BOISE,Boise,TAFT ELEMENTARY SCHOOL,83703
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,,Peace Valley Charter,Peace Valley Charter BOISE,2017-2018,ID,N/A,,,,,,N/A,-116.202035,43.587629,1845 S. Federal Way,BOISE,Boise,PEACE VALLEY CHARTER SCHOOL,83705
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,,Table Rock Christian,Table Rock Christian DRIGGS,2017-2018,ID,N/A,,,,,,N/A,-111.111019064,43.745022,1510 N Hwy 33,DRIGGS,Driggs,TABLE ROCK CHRISTIAN SCHOOL,83422
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,,Eagle Adventist Christian,Eagle Adventist Christian EAGLE,2017-2018,ID,N/A,,,,,,N/A,-116.361032334,43.695303475,538 W. State St.,EAGLE,Eagle,EAGLE ADVENTIST CHRISTIAN SCHOOL,83616
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,,Northwest Expedition Academy,Northwest Expedition Academy HAYDEN,2017-2018,ID,N/A,,,,,,N/A,-116.785668,47.760119,9650 N. Government Way,HAYDEN,Hayden,NORTHWEST EXPEDITION ACADEMY,83835
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,,Day Treatment Program,Day Treatment Program JEROME,2017-2018,ID,N/A,,,,,,N/A,-114.5195325,42.727954510,125 4th Ave West,JEROME,Jerome,DAY TREATMENT PROGRAM,83338
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,,Northwest Children's Education Center,Northwest Children's Education Center LEWISTON,2017-2018,ID,N/A,,,,,,N/A,-117.014123059,46.414284489,602 13th Street,LEWISTON,Lewiston,NORTHWEST CHILDREN'S EDUCATION CENTER,83501
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,,Gem Prep: Meridian,,2017-2018,ID,N/A,,,,,,N/A,-116.35986,43.590552,2750 E. Gala St,MERIDIAN,Meridian,GEM PREP MERIDIAN,83642
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,,Discovery Elementary,,2017-2018,ID,N/A,,,,,,N/A,-116.368267,43.641232,2100 E. Leighfield Dr,MERIDIAN,Meridian,DISCOVERY ELEMENTARY SCHOOL - MERIDIAN,83646
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,,Three Creek Elementary,Three Creek Elementary ROGERSON,2017-2018,ID,N/A,,,,,,N/A,-114.594224,42.217947,49909 Three Creek HWY,ROGERSON,Rogerson,THREE CREEK ELEMENTARY SCHOOL,83302
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,,Stricker Elementary,Stricker Elementary SCHOOL,2017-2018,ID,N/A,,,,,,N/A,-114.374152,42.543449,900 Polk St. W.,TWIN FALLS,Twin Falls,STRICKER ELEMENTARY SCHOOL,83341
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,151Cassia,John V Evans Elementary,John V Evans Elementary BURLEY,2017-2018,ID,N/A,,,,,,N/A,-113.803613,42.514323,3000 Parke Ave,BURLEY,Burley,JOHN V EVANS ELEMENTARY SCHOOL,83318
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,84Lake Pend Oreille,The Homeschool Academy,The Homeschool Academy PONDERAY,2017-2018,ID,N/A,,,,,,N/A,-116.538281,43.303597,901 Triangle Dr.,PONDERAY,Ponderay,THE HOMESCHOOL ACADEMY,83852
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,Charter,Idaho Science & Technology Charter,Idaho Science & Technology Charter BLACKFOOT,2017-2018,ID,N/A,,,,,,N/A,-112.405453284,43.199522445,21 N 550 W,BLACKFOOT,Blackfoot,IDAHO SCIENCE & TECHNOLOGY CHARTER SCHOOL,83221
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,111 Butte,Howe Elementary,Howe Elementary HOWE,2017-2018,ID,N/A,3,0,3,0,0,N/A,-113.063687,43.855852,3512 Little Lost River Hwy,HOWE,Howe,HOWE ELEMENTARY SCHOOL,83244
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,151 Cassia,Almo Elementary,Almo Elementary ALMO,2017-2018,ID,N/A,1,0,1,0,0,N/A,-113.632596,42.071753,2992 Elba-Almo Rd,ALMO,Almo,ALMO ELEMENTARY SCHOOL,83342
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,171 Orofino,Peck Elementary,Peck Elementary PECK,2017-2018,ID,N/A,2,0,2,0,0,N/A,-116.421081,46.472633,212 Main Street,PECK,Peck,PECK ELEMENTARY SCHOOL,83545
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,181 Challis,Stanley Elementary/Jr High,Stanley Elementary/Jr High STANLEY,2017-2018,ID,N/A,1,0,1,0,0,N/A,-114.943198,44.211107,"Airport Rd,",STANLEY,Stanley,STANLEY ELEMENTARY JR HIGH SCHOOL,83278
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,221 Emmett,Ola Elementary,Ola Elementary OLA,2017-2018,ID,N/A,3,0,3,0,0,N/A,-116.293649,44.176706,11475 Ola School Rd,OLA,Ola,OLA ELEMENTARY SCHOOL,83657
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,244 Mountain View,Elk City Public,Elk City Public ELK CITY,2017-2018,ID,N/A,1,0,1,0,0,N/A,-115.435949,45.827972,100 School Drive,ELK CITY,Elk City,ELK CITY PUBLIC SCHOOL,83525
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,253 West Jefferson,Hamer Elementary,Hamer Elementary HAMER,2017-2018,ID,N/A,2,0,2,0,0,N/A,-112.201216,43.927838,2450 E. 2100 N.,HAMER,Hamer,HAMER ELEMENTARY SCHOOL,83425
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,292 South Lemhi,Tendoy Elementary,Tendoy Elementary LEADORE,2017-2018,ID,N/A,1,0,1,0,0,N/A,-113.355221,44.598789,2217 Lemhi Rd,LEADORE,Leadore,TENDOY ELEMENTARY SCHOOL - TENDOY,83468
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,383 Arbon,Arbon Elementary,Arbon Elementary ARBON,2017-2018,ID,N/A,3,0,3,0,0,N/A,-112.555844,42.532526,4405 Arbon Hwy,ARBON,Arbon,ARBON ELEMENTARY SCHOOL,83212
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,394 Avery,Calder Elementary/Jr High,Calder Elementary/Jr High AVERY,2017-2018,ID,N/A,1,0,1,0,0,N/A,-115.9184474,47.2529835,Schoolhouse Hill,AVERY,Avery,CALDER ELEMENTARY JR HIGH SCHOOL,83802
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,83 West Bonner,Priest Lake Elementary,Priest Lake Elementary PRIEST LKE,2017-2018,ID,N/A,7,0,7,0,0,N/A,-116.924271738,48.513897414,27732 HWY 57,PRIEST LKE,Priest Lke,PRIEST LAKE ELEMENTARY SCHOOL,83856
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,92 Swan Valley,Swan Valley Elementary,Swan Valley Elementary IRWIN,2017-2018,ID,N/A,4,0,4,0,0,N/A,-111.293562,43.404988,3389 Highway 26,IRWIN,Irwin,SWAN VALLEY ELEMENTARY SCHOOL,83428
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,Private,Boise River Montessori,Boise River Montessori BOISE,2017-2018,ID,N/A,4,0,4,0,0,N/A,-116.220921508,43.640172084,2211 N 26th St,BOISE,Boise,BOISE RIVER MONTESSORI,83702
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,Private,Five Mile Montessori,Five Mile Montessori BOISE,2017-2018,ID,N/A,4,0,4,0,0,N/A,-116.309859467,43.59168,1439 S Weideman Ave,BOISE,Boise,FIVE MILE MONTESSORI,83709
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,Private,Hope Lutheran,Hope Lutheran IDAHO FALLS,2017-2018,ID,N/A,6,0,6,0,0,N/A,-111.994464,43.48709,2071 12th Street,IDAHO FALLS,Idaho Falls,HOPE LUTHERAN SCHOOL,83404
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,Private,Children's House Montessori,Children's House Montessori MOUNTAIN HOME,2017-2018,ID,N/A,4,0,4,0,0,N/A,-115.685702026,43.133927530,1134 American Legion,MOUNTAIN HOME,Mountain Home,CHILDREN'S HOUSE MONTESSORI,83647
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,Private,Calvary Chapel Christian / Pocatello,Calvary Chapel Christian / Pocatello POCATELLO,2017-2018,ID,N/A,5,0,5,0,0,N/A,-112.432260872,42.904473213,1633 Olympus Blvd.,POCATELLO,Pocatello,CALVARY CHAPEL CHRISTIAN SCHOOL - POCATELLO,83201
100.0%,100.0%,0.0%,100.0%,0.0%,Kindergarten,100.0%,100.0%,0.0%,100.0%,N/A,1,100.0%,149 North Gem,North Gem K/12,North Gem K/12 BANCROFT,2017-2018,ID,N/A,11,0,11,0,0,100.0%,-111.886552,42.718472,360 S. Main,BANCROFT,Bancroft,NORTH GEM K-12 SCHOOL,83217
100.0%,100.0%,0.0%,100.0%,0.0%,Kindergarten,100.0%,100.0%,0.0%,100.0%,N/A,1,100.0%,33 Bear Lake,A.J. Winters Elementary,A.J. Winters Elementary MONTPELIER,2017-2018,ID,N/A,49,0,49,0,0,100.0%,-111.301563,42.322017,535 CLAY ST,MONTPELIER,Montpelier,A.J. WINTERS ELEMENTARY SCHOOL,83254
100.0%,100.0%,0.0%,100.0%,0.0%,Kindergarten,100.0%,100.0%,0.0%,100.0%,N/A,1,100.0%,33 Bear Lake,Paris Elementary,Paris Elementary PARIS,2017-2018,ID,N/A,23,0,23,0,0,100.0%,-111.414885,42.222511,39 Fielding St,PARIS,Paris,PARIS ELEMENTARY SCHOOL,83261
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,11 Meadows Valley,Meadows Valley,Meadows Valley NEW MEADOWS,2017-2018,ID,N/A,4,0,5,0,1,N/A,-116.28575,44.966539,500 N Miller Ave,NEW MEADOWS,New Meadows,MEADOWS VALLEY SCHOOL,83654
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,365 Bruneau-Grand View,Bruneau Elementary,Bruneau Elementary BRUNEAU,2017-2018,ID,N/A,2,0,4,0,2,N/A,-115.802471,42.880614,25841 Benham Ave,BRUNEAU,Bruneau,BRUNEAU ELEMENTARY SCHOOL,83604
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,Private,Lillian Valley,Lillian Valley BLACKFOOT,2017-2018,ID,N/A,4,0,6,0,2,N/A,-112.435566,43.14561,350 S 700 W,BLACKFOOT,Blackfoot,LILLIAN VALLEY SCHOOL,83221
84.6%,84.6%,0.0%,92.3%,0.0%,Kindergarten,92.3%,100.0%,15.4%,84.6%,N/A,1,100.0%,215 Fremont,Parker Egin Elementary,Parker Egin Elementary ST. ANTHONY,2017-2018,ID,N/A,11,0,13,0,2,84.6%,-111.757999664,43.960788807,221 N. Center St.,ST. ANTHONY,St. Anthony,PARKER EGIN ELEMENTARY SCHOOL,83445
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,382 Rockland,Rockland,Rockland ROCKLAND,2017-2018,ID,N/A,5,0,8,0,3,N/A,-112.872777,42.574067,321 E. Center,ROCKLAND,Rockland,ROCKLAND SCHOOL,83271
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,Private,St. Mary's Catholic,St. Mary's Catholic MOSCOW,2017-2018,ID,N/A,5,0,8,0,3,N/A,-116.991090648,46.736920152,412 N Monroe,MOSCOW,Moscow,ST. MARY'S SCHOOL,83843
85.7%,85.7%,0.0%,90.5%,0.0%,Kindergarten,95.2%,96.4%,14.3%,94.0%,N/A,1,95.2%,215 Fremont,Henry's Fork Elementary,Henry's Fork Elementary ST. ANTHONY,2017-2018,ID,N/A,72,0,84,0,12,91.7%,-111.686489708,43.970867528,425 N 3 W,ST. ANTHONY,St. Anthony,HENRY'S FORK ELEMENTARY SCHOOL,83451
76.0%,76.0%,0.0%,80.2%,0.0%,Kindergarten,87.5%,93.8%,24.0%,80.2%,N/A,1,82.3%,321 Madison,Lincoln Elementary,Lincoln Elementary REXBURG,2017-2018,ID,N/A,73,0,96,0,23,77.1%,-111.773196,43.82182,358 E 2nd S,REXBURG,Rexburg,LINCOLN ELEMENTARY SCHOOL - REXBURG,83440
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,171 Orofino,Cavendish /Teakean Elementary,Cavendish /Teakean Elementary LENORE,2017-2018,ID,N/A,2,0,3,1,0,N/A,-116.427301516,46.556463339,455 Middle Road,LENORE,Lenore,CAVENDISH-TEAKEAN ELEMENTARY SCHOOL,83541
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,193 Mountain Home,Pine Elementary/Jr High,Pine Elementary/Jr High PINE,2017-2018,ID,N/A,0,0,1,1,0,N/A,-115.388228,43.472779,160 S Lester Creek Rd,PINE,Pine,PINE ELEMENTARY-JUNIOR HIGH SCHOOL,83647
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,292 South Lemhi,Leadore,Leadore LEADORE,2017-2018,ID,N/A,6,0,7,1,0,N/A,-113.36211,44.679028,111 S 3rd St,LEADORE,Leadore,LEADORE SCHOOL,83464
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,351 Oneida,Stone Elementary,Stone Elementary MALAD,2017-2018,ID,N/A,5,0,6,1,0,N/A,-112.695199358,42.025521856,10808 S 23000 W,MALAD,Malad,STONE ELEMENTARY SCHOOL,83252
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,Charter,Idaho School for the Deaf & Blind,Idaho School for the Deaf & Blind GOODING,2017-2018,ID,N/A,2,0,3,1,0,N/A,-114.71293,42.928972,1450 Main Street,GOODING,Gooding,IDAHO SCHOOL FOR THE DEAF & BLIND,83330
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,Private,Clover Trinity Lutheran,Clover Trinity Lutheran BUHL,2017-2018,ID,N/A,5,0,6,1,0,N/A,-114.687438202,42.516854837,3552 N. 1825 E.,BUHL,Buhl,CLOVER TRINITY LUTHERAN,83316
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,Private,Caldwell Adventist Elementary,Caldwell Adventist Elementary CALDWELL,2017-2018,ID,N/A,3,0,4,1,0,N/A,-116.676769,43.649712,2317 Wisconsin Ave,CALDWELL,Caldwell,CALDWELL ADVENTIST ELEMENTARY,83605
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,Private,Discovery Christian Day,Discovery Christian Day COEUR D'ALENE,2017-2018,ID,N/A,6,0,7,1,0,N/A,-116.784760668,47.675995514,108 E. Indiana Ave,COEUR D'ALENE,Coeur d'Alene,DIETRICH SCHOOL,83814
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,Private,Saint Peter and Paul,Saint Peter and Paul GRANGEVILLE,2017-2018,ID,N/A,4,0,5,1,0,N/A,-116.126922973,45.924533748,330 S B street,GRANGEVILLE,Grangeville,SAINT PETER AND PAUL SCHOOL,83530
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,Private,Beacon Christian,Beacon Christian LEWISTON,2017-2018,ID,N/A,3,0,4,1,0,N/A,-117.000170832,46.391415461,615 Stewart Avenue,LEWISTON,Lewiston,BEACON CHRISTIAN SCHOOL,83501
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,Private,River of Life Christian,River of Life Christian PAYETTE,2017-2018,ID,N/A,4,0,5,1,0,N/A,-116.93466,44.092887521,800 17 Ave N,PAYETTE,Payette,RIVER OF LIFE CHRISTIAN SCHOOL,83661
98.9%,100.0%,0.0%,100.0%,1.1%,Kindergarten,100.0%,100.0%,0.0%,100.0%,N/A,1,100.0%,93 Bonneville,Iona Elementary,Iona Elementary IONA,2017-2018,ID,N/A,90,0,91,1,0,98.9%,-111.927439,43.525392,5338 Owens Ave,IONA,Iona,IONA ELEMENTARY SCHOOL,83427
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,391 Kellogg,Canyon Elementary Science Magnet,Canyon Elementary Science Magnet CATALDO,2017-2018,ID,N/A,3,0,5,1,1,N/A,-116.414138,47.575731,E 27491 School House Loop,CATALDO,Cataldo,CANYON ELEMENTARY SCIENCE MAGNET SCHOOL,83810
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,433 Midvale,Midvale,Midvale MIDVALE,2017-2018,ID,N/A,6,0,8,1,1,N/A,-116.729884,44.471966,56 School Road,MIDVALE,Midvale,MIDVALE SCHOOL,83645
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,Private,Noah's Ark Learning Center,Noah's Ark Learning Center COEUR D'ALENE,2017-2018,ID,N/A,5,0,7,1,1,N/A,-116.765063856,47.704815975,3115 N 15th Street,COEUR D'ALENE,Coeur d'Alene,NOAH'S ARK LEARNING CENTER,83815
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,Private,Calvary Christian Academy,Calvary Christian Academy EMMETT,2017-2018,ID,N/A,6,0,8,1,1,N/A,-116.506893693,43.893621487,498 W. Idaho Blvd.,EMMETT,Emmett,CALVARY CHRISTIAN SCHOOL - NAMPA,83617
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,Private,Zion Lutheran,Zion Lutheran NAMPA,2017-2018,ID,N/A,5,0,7,1,1,N/A,-116.572884083,43.558704,1012 12th Ave Rd,NAMPA,Nampa,ZION LUTHERAN SCHOOL,83686
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,41 St Maries,Upriver Elementary/Jr High,Upriver Elementary/Jr High FERNWOOD,2017-2018,ID,N/A,4,0,7,1,2,N/A,-116.390203128,47.110927050,75 Fern St,FERNWOOD,Fernwood,UPRIVER ELEMENTARY JR HIGH SCHOOL,83830
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,342 Culdesac,Culdesac,Culdesac CULDESAC,2017-2018,ID,N/A,4,0,6,2,0,N/A,-116.671904,46.375528,600 Culdesac Ave,CULDESAC,Culdesac,CULDESAC SCHOOL,83524
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,411 Twin Falls,Twin Falls Virtual House,Twin Falls Virtual House TWIN FALLS,2017-2018,ID,N/A,2,0,4,2,0,N/A,-114.440518147,42.555002486,616 Eastland Dr,TWIN FALLS,Twin Falls,TWIN FALLS VIRTUAL SCHOOLHOUSE,83301
,,,N/A,,Kindergarten,N/A,N/A,,N/A,N/A,1,,71 Garden Valley,Lowman Elementary,Lowman Elementary LOWMAN,2017-2018,ID,N/A,0,0,2,2,0,N/A,-115.658480336,44.082347972,3484 Banks Lowman Rd,LOWMAN,Lowman,LOWMAN ELEMENTARY SCHOOL,83637
